,TransactionType,Channel,CustomerAge,CustomerOccupation,AccountBalance,CustomerAge_bin,AccountBalance_bin,TransactionAmount_bin,cluster
55,Debit,Branch,23.0,Student,930.3,1.0,1.0,1.0,1
56,Debit,ATM,46.0,Engineer,5499.91,2.0,2.0,2.0,0
57,Debit,Online,48.0,Engineer,6651.62,2.0,2.0,2.0,0
58,Credit,Branch,56.0,Engineer,8458.29,3.0,3.0,3.0,3
59,Debit,Online,50.0,Doctor,13988.12,3.0,3.0,3.0,2
60,Credit,Branch,42.0,Engineer,2585.07,2.0,2.0,2.0,3
61,Debit,Branch,56.0,Retired,3014.75,3.0,3.0,3.0,2
62,Debit,Branch,25.0,Student,1951.42,1.0,1.0,1.0,1
63,Credit,Online,60.0,Engineer,3665.77,3.0,3.0,3.0,3
64,Credit,Branch,32.0,Engineer,977.01,1.0,1.0,1.0,1
65,Debit,ATM,44.0,Engineer,3846.2800000000007,2.0,2.0,2.0,0
66,Debit,Online,35.0,Engineer,6374.82,2.0,2.0,2.0,0
67,Debit,ATM,62.0,Retired,5866.01,3.0,3.0,3.0,2
68,Credit,Online,26.0,Student,6537.62,1.0,1.0,1.0,1
69,Debit,ATM,37.0,Engineer,6689.87,2.0,2.0,2.0,0
70,Debit,Online,22.0,Student,634.17,1.0,1.0,1.0,1
71,Debit,Branch,44.0,Doctor,14676.05,2.0,2.0,2.0,0
72,Debit,Branch,19.0,Student,1362.39,1.0,1.0,1.0,1
73,Debit,Online,50.0,Doctor,10528.34,3.0,3.0,3.0,2
74,Debit,ATM,38.0,Engineer,552.52,2.0,2.0,2.0,0
75,Credit,Online,58.0,Engineer,6451.96,3.0,3.0,3.0,3
76,Debit,Online,49.0,Doctor,7176.86,2.0,2.0,2.0,0
77,Debit,Online,34.0,Doctor,1523.72,2.0,2.0,2.0,0
78,Debit,Branch,64.0,Doctor,9869.93,3.0,3.0,3.0,2
79,Debit,ATM,48.0,Doctor,10556.81,2.0,2.0,2.0,0
80,Credit,Online,58.0,Doctor,12883.91,3.0,3.0,3.0,3
81,Debit,Online,24.0,Student,791.65,1.0,1.0,1.0,1
82,Credit,Online,60.0,Retired,4064.02,3.0,3.0,3.0,3
83,Debit,Branch,21.0,Student,618.05,1.0,1.0,1.0,1
84,Debit,Online,19.0,Student,1375.8,1.0,1.0,1.0,1
85,Debit,ATM,29.0,Engineer,1143.52,1.0,1.0,1.0,0
86,Credit,Branch,51.0,Engineer,7708.41,3.0,3.0,3.0,3
87,Credit,Branch,27.0,Student,1872.96,1.0,1.0,1.0,1
88,Debit,ATM,57.0,Engineer,201.04,3.0,3.0,3.0,2
89,Debit,Branch,71.0,Retired,2115.8,4.0,4.0,4.0,2
90,Debit,Branch,37.0,Doctor,7643.66,2.0,2.0,2.0,0
91,Debit,Branch,30.0,Engineer,8901.93,1.0,1.0,1.0,0
92,Credit,Online,20.0,Student,9383.43,1.0,1.0,1.0,1
93,Credit,Branch,55.0,Doctor,1181.31,3.0,3.0,3.0,3
94,Debit,Branch,27.0,Engineer,9418.86,1.0,1.0,1.0,0
95,Debit,ATM,32.0,Engineer,7954.919999999999,1.0,1.0,1.0,0
96,Debit,Online,46.0,Engineer,9418.08,2.0,2.0,2.0,0
97,Debit,Online,59.0,Retired,6144.68,3.0,3.0,3.0,2
98,Debit,Branch,27.0,Student,420.65,1.0,1.0,1.0,1
99,Debit,Online,22.0,Student,447.82,1.0,1.0,1.0,1
100,Debit,ATM,63.0,Retired,7981.450000000001,3.0,3.0,3.0,2
101,Debit,ATM,25.0,Student,985.0600000000001,1.0,1.0,1.0,1
102,Credit,Online,51.0,Engineer,8849.26,3.0,3.0,3.0,3
103,Credit,ATM,78.0,Retired,3528.72,4.0,4.0,4.0,3
104,Debit,Online,40.0,Engineer,480.16,2.0,2.0,2.0,0
105,Debit,Online,47.0,Doctor,12145.27,2.0,2.0,2.0,0
106,Credit,Online,68.0,Doctor,13546.75,4.0,4.0,4.0,3
107,Debit,Online,26.0,Engineer,8346.64,1.0,1.0,1.0,0
108,Debit,Branch,39.0,Engineer,6481.04,2.0,2.0,2.0,0
109,Debit,ATM,69.0,Retired,1651.33,4.0,4.0,4.0,2
110,Credit,Online,46.0,Doctor,11174.94,2.0,2.0,2.0,3
111,Debit,Online,27.0,Student,145.5,1.0,1.0,1.0,1
112,Debit,Online,41.0,Engineer,4172.57,2.0,2.0,2.0,0
113,Debit,ATM,56.0,Retired,5558.36,3.0,3.0,3.0,2
114,Credit,Online,70.0,Doctor,11151.53,4.0,4.0,4.0,3
115,Debit,Branch,57.0,Doctor,1415.52,3.0,3.0,3.0,2
116,Debit,Online,26.0,Student,1103.64,1.0,1.0,1.0,1
117,Debit,Online,26.0,Student,303.68,1.0,1.0,1.0,1
118,Debit,Branch,33.0,Engineer,6309.8,1.0,1.0,1.0,0
119,Credit,Branch,78.0,Retired,5133.61,4.0,4.0,4.0,3
120,Debit,Online,47.0,Engineer,9344.98,2.0,2.0,2.0,0
121,Credit,Branch,23.0,Student,1117.97,1.0,1.0,1.0,1
122,Debit,ATM,56.0,Doctor,11835.35,3.0,3.0,3.0,2
123,Debit,ATM,50.0,Doctor,14401.17,3.0,3.0,3.0,2
124,Debit,Online,18.0,Student,1748.69,1.0,1.0,1.0,1
125,Debit,Branch,21.0,Student,1000.46,1.0,1.0,1.0,1
126,Debit,Online,23.0,Student,263.98,1.0,1.0,1.0,1
127,Debit,Online,30.0,Doctor,5442.76,1.0,1.0,1.0,0
128,Debit,ATM,18.0,Student,341.94,1.0,1.0,1.0,1
129,Credit,Online,66.0,Retired,1066.59,4.0,4.0,4.0,3
130,Credit,Branch,69.0,Retired,6077.96,4.0,4.0,4.0,3
131,Debit,ATM,20.0,Student,1659.15,1.0,1.0,1.0,1
132,Debit,ATM,66.0,Doctor,10113.66,4.0,4.0,4.0,2
133,Debit,Online,54.0,Retired,4446.17,3.0,3.0,3.0,2
134,Debit,Online,80.0,Retired,6452.77,4.0,4.0,4.0,2
135,Credit,Branch,35.0,Engineer,2788.2,2.0,2.0,2.0,3
136,Debit,Online,20.0,Student,596.1599999999999,1.0,1.0,1.0,1
137,Debit,Branch,61.0,Doctor,12904.66,3.0,3.0,3.0,2
138,Debit,ATM,37.0,Engineer,9062.4,2.0,2.0,2.0,0
139,Credit,Online,36.0,Engineer,9009.56,2.0,2.0,2.0,3
140,Credit,Online,20.0,Student,1152.2,1.0,1.0,1.0,1
141,Credit,Branch,68.0,Doctor,12168.37,4.0,4.0,4.0,3
142,Debit,Branch,23.0,Student,611.8599999999999,1.0,1.0,1.0,1
143,Debit,Online,62.0,Doctor,8670.53,3.0,3.0,3.0,2
144,Credit,Online,53.0,Doctor,10098.86,3.0,3.0,3.0,3
145,Debit,Branch,33.0,Doctor,5307.74,1.0,1.0,1.0,0
146,Credit,Branch,56.0,Retired,1047.28,3.0,3.0,3.0,3
147,Debit,Branch,70.0,Doctor,6921.48,4.0,4.0,4.0,2
148,Debit,Branch,51.0,Retired,1475.46,3.0,3.0,3.0,2
149,Debit,ATM,34.0,Engineer,112.76,2.0,2.0,2.0,0
150,Debit,Branch,75.0,Retired,5669.66,4.0,4.0,4.0,2
151,Debit,Branch,31.0,Engineer,4057.1,1.0,1.0,1.0,0
152,Debit,ATM,22.0,Student,1585.98,1.0,1.0,1.0,1
153,Debit,Branch,31.0,Engineer,6825.55,1.0,1.0,1.0,0
154,Debit,Branch,56.0,Retired,5516.5,3.0,3.0,3.0,2
155,Debit,Online,76.0,Retired,5343.3,4.0,4.0,4.0,2
156,Debit,Branch,22.0,Student,903.05,1.0,1.0,1.0,1
157,Debit,Online,24.0,Student,1806.16,1.0,1.0,1.0,1
158,Debit,Branch,26.0,Student,787.7399999999999,1.0,1.0,1.0,1
159,Debit,ATM,19.0,Student,770.37,1.0,1.0,1.0,1
160,Debit,Online,71.0,Retired,1182.77,4.0,4.0,4.0,2
161,Credit,Online,54.0,Engineer,726.55,3.0,3.0,3.0,3
162,Debit,Online,41.0,Doctor,14464.3,2.0,2.0,2.0,0
163,Debit,ATM,58.0,Doctor,12046.3,3.0,3.0,3.0,2
164,Debit,Branch,73.0,Retired,7885.64,4.0,4.0,4.0,2
165,Credit,Branch,19.0,Student,1952.3499999999997,1.0,1.0,1.0,1
166,Debit,ATM,59.0,Doctor,7328.52,3.0,3.0,3.0,2
167,Debit,ATM,59.0,Engineer,3210.39,3.0,3.0,3.0,2
168,Debit,ATM,62.0,Retired,1363.65,3.0,3.0,3.0,2
169,Credit,ATM,60.0,Engineer,1241.99,3.0,3.0,3.0,3
170,Debit,ATM,38.0,Doctor,7873.280000000001,2.0,2.0,2.0,0
171,Credit,Branch,49.0,Doctor,9840.04,2.0,2.0,2.0,3
172,Credit,Branch,43.0,Doctor,10328.23,2.0,2.0,2.0,3
173,Credit,Online,25.0,Student,293.24,1.0,1.0,1.0,1
174,Debit,Branch,52.0,Engineer,7486.63,3.0,3.0,3.0,2
175,Credit,Branch,50.0,Doctor,11385.37,3.0,3.0,3.0,3
176,Debit,Branch,69.0,Retired,7264.79,4.0,4.0,4.0,2
177,Debit,Branch,62.0,Retired,2762.48,3.0,3.0,3.0,2
178,Debit,Online,62.0,Retired,6675.03,3.0,3.0,3.0,2
179,Debit,Branch,53.0,Retired,7432.99,3.0,3.0,3.0,2
180,Debit,ATM,19.0,Student,1057.0,1.0,1.0,1.0,1
181,Debit,Online,43.0,Doctor,5956.89,2.0,2.0,2.0,0
182,Debit,Branch,59.0,Engineer,7261.59,3.0,3.0,3.0,2
183,Debit,Branch,64.0,Retired,4943.16,3.0,3.0,3.0,2
184,Debit,Branch,60.0,Engineer,8127.4800000000005,3.0,3.0,3.0,2
185,Debit,ATM,68.0,Retired,1748.02,4.0,4.0,4.0,2
186,Debit,ATM,31.0,Engineer,9660.22,1.0,1.0,1.0,0
187,Debit,ATM,46.0,Engineer,6371.51,2.0,2.0,2.0,0
188,Debit,ATM,54.0,Doctor,9442.47,3.0,3.0,3.0,2
189,Credit,ATM,63.0,Retired,5959.2,3.0,3.0,3.0,3
190,Debit,ATM,65.0,Doctor,13531.22,4.0,4.0,4.0,2
191,Debit,ATM,40.0,Doctor,11500.62,2.0,2.0,2.0,0
192,Debit,ATM,61.0,Retired,1389.37,3.0,3.0,3.0,2
193,Debit,ATM,55.0,Engineer,6706.56,3.0,3.0,3.0,2
194,Credit,Online,57.0,Doctor,7175.29,3.0,3.0,3.0,3
195,Debit,ATM,25.0,Student,420.67,1.0,1.0,1.0,1
196,Debit,Branch,75.0,Retired,7323.53,4.0,4.0,4.0,2
197,Debit,ATM,50.0,Doctor,8395.85,3.0,3.0,3.0,2
198,Credit,Online,33.0,Engineer,5140.93,1.0,1.0,1.0,1
199,Debit,ATM,63.0,Doctor,7945.57,3.0,3.0,3.0,2
200,Debit,Branch,44.0,Doctor,5873.54,2.0,2.0,2.0,0
201,Credit,Online,76.0,Retired,3074.45,4.0,4.0,4.0,3
202,Debit,ATM,64.0,Retired,6155.76,3.0,3.0,3.0,2
203,Debit,Online,28.0,Engineer,8318.29,1.0,1.0,1.0,0
204,Debit,ATM,58.0,Engineer,230.09,3.0,3.0,3.0,2
205,Debit,Branch,57.0,Retired,2513.56,3.0,3.0,3.0,2
206,Debit,Branch,41.0,Doctor,10090.05,2.0,2.0,2.0,0
207,Debit,ATM,22.0,Student,480.19000000000005,1.0,1.0,1.0,1
208,Debit,ATM,48.0,Doctor,1120.88,2.0,2.0,2.0,0
209,Debit,ATM,21.0,Student,370.81,1.0,1.0,1.0,1
210,Debit,ATM,43.0,Doctor,13498.55,2.0,2.0,2.0,0
211,Credit,Branch,46.0,Engineer,3057.4,2.0,2.0,2.0,3
212,Debit,ATM,51.0,Doctor,14942.779999999999,3.0,3.0,3.0,2
213,Debit,ATM,39.0,Doctor,14143.32,2.0,2.0,2.0,0
214,Credit,ATM,56.0,Retired,6736.3,3.0,3.0,3.0,3
215,Debit,Branch,48.0,Engineer,3313.07,2.0,2.0,2.0,0
216,Debit,Branch,54.0,Doctor,829.7099999999999,3.0,3.0,3.0,2
217,Credit,Online,53.0,Retired,1540.87,3.0,3.0,3.0,3
218,Credit,Online,32.0,Engineer,6820.23,1.0,1.0,1.0,0
219,Debit,Online,35.0,Doctor,13475.14,2.0,2.0,2.0,0
220,Debit,Branch,32.0,Engineer,714.4499999999999,1.0,1.0,1.0,0
221,Debit,ATM,21.0,Student,1306.91,1.0,1.0,1.0,1
222,Credit,Online,56.0,Engineer,7255.33,3.0,3.0,3.0,3
223,Debit,Branch,59.0,Retired,1153.84,3.0,3.0,3.0,2
224,Credit,Branch,77.0,Retired,6647.73,4.0,4.0,4.0,3
225,Debit,Branch,22.0,Student,8709.77,1.0,1.0,1.0,1
226,Debit,Online,23.0,Student,857.9,1.0,1.0,1.0,1
227,Credit,Online,53.0,Doctor,509.45000000000005,3.0,3.0,3.0,3
228,Debit,ATM,51.0,Engineer,2812.06,3.0,3.0,3.0,2
229,Debit,Online,57.0,Engineer,6179.91,3.0,3.0,3.0,2
230,Credit,Branch,26.0,Engineer,6609.3,1.0,1.0,1.0,1
231,Debit,Branch,67.0,Retired,3484.32,4.0,4.0,4.0,2
232,Debit,ATM,18.0,Student,754.21,1.0,1.0,1.0,1
233,Debit,Online,18.0,Student,751.09,1.0,1.0,1.0,1
234,Credit,Branch,39.0,Doctor,8510.09,2.0,2.0,2.0,3
235,Debit,Online,58.0,Doctor,1508.72,3.0,3.0,3.0,2
236,Debit,Online,18.0,Student,511.36999999999995,1.0,1.0,1.0,1
237,Debit,ATM,59.0,Doctor,12648.32,3.0,3.0,3.0,2
238,Credit,Branch,54.0,Engineer,233.21,3.0,3.0,3.0,3
239,Debit,ATM,23.0,Student,1092.92,1.0,1.0,1.0,1
240,Debit,ATM,59.0,Engineer,6711.15,3.0,3.0,3.0,2
241,Credit,Online,25.0,Student,459.37,1.0,1.0,1.0,1
242,Debit,Branch,79.0,Retired,6994.34,4.0,4.0,4.0,2
243,Debit,Branch,43.0,Engineer,7071.09,2.0,2.0,2.0,0
244,Debit,ATM,44.0,Engineer,9045.19,2.0,2.0,2.0,0
245,Debit,Online,43.0,Engineer,9642.12,2.0,2.0,2.0,0
246,Credit,Online,26.0,Engineer,6263.96,1.0,1.0,1.0,1
247,Debit,Branch,72.0,Retired,7460.329999999999,4.0,4.0,4.0,2
248,Debit,Online,61.0,Retired,4233.82,3.0,3.0,3.0,2
249,Debit,ATM,42.0,Engineer,8303.9,2.0,2.0,2.0,0
250,Debit,Online,28.0,Student,314.28,1.0,1.0,1.0,1
251,Debit,Online,35.0,Doctor,5241.23,2.0,2.0,2.0,0
252,Debit,Branch,46.0,Doctor,6863.06,2.0,2.0,2.0,0
253,Debit,Online,76.0,Retired,3877.7299999999996,4.0,4.0,4.0,2
254,Debit,Branch,69.0,Retired,4046.5800000000004,4.0,4.0,4.0,2
255,Debit,ATM,72.0,Retired,2409.73,4.0,4.0,4.0,2
256,Debit,Branch,58.0,Engineer,5211.88,3.0,3.0,3.0,2
257,Debit,ATM,45.0,Engineer,6217.86,2.0,2.0,2.0,0
258,Debit,Online,25.0,Student,5978.12,1.0,1.0,1.0,1
259,Credit,Online,26.0,Student,1671.66,1.0,1.0,1.0,1
260,Debit,Branch,53.0,Doctor,14611.9,3.0,3.0,3.0,2
261,Debit,ATM,64.0,Doctor,8253.52,3.0,3.0,3.0,2
262,Debit,Branch,63.0,Retired,4489.79,3.0,3.0,3.0,2
263,Credit,Branch,37.0,Doctor,11903.82,2.0,2.0,2.0,3
264,Credit,Online,22.0,Student,483.02000000000004,1.0,1.0,1.0,1
265,Debit,Branch,21.0,Student,816.0799999999999,1.0,1.0,1.0,1
266,Debit,ATM,25.0,Student,578.06,1.0,1.0,1.0,1
267,Debit,ATM,53.0,Retired,3133.85,3.0,3.0,3.0,2
268,Debit,Online,68.0,Retired,5894.09,4.0,4.0,4.0,2
269,Debit,ATM,22.0,Student,9532.42,1.0,1.0,1.0,1
270,Debit,Branch,51.0,Engineer,5327.03,3.0,3.0,3.0,2
271,Debit,ATM,34.0,Engineer,2000.6,2.0,2.0,2.0,0
272,Debit,ATM,56.0,Retired,6827.57,3.0,3.0,3.0,2
273,Debit,Branch,27.0,Student,1633.76,1.0,1.0,1.0,1
274,Debit,ATM,73.0,Retired,4069.1699999999996,4.0,4.0,4.0,2
275,Credit,Branch,51.0,Engineer,7943.469999999999,3.0,3.0,3.0,3
276,Credit,Online,39.0,Engineer,8842.47,2.0,2.0,2.0,3
277,Debit,Online,24.0,Student,1882.77,1.0,1.0,1.0,1
278,Debit,Branch,37.0,Doctor,12526.71,2.0,2.0,2.0,0
279,Debit,Online,21.0,Student,4737.84,1.0,1.0,1.0,1
280,Debit,Branch,78.0,Retired,2300.53,4.0,4.0,4.0,2
281,Debit,Branch,30.0,Doctor,12385.05,1.0,1.0,1.0,0
282,Credit,Branch,31.0,Engineer,4547.06,1.0,1.0,1.0,1
283,Debit,Online,36.0,Engineer,2047.83,2.0,2.0,2.0,0
284,Debit,Branch,70.0,Doctor,10008.33,4.0,4.0,4.0,2
285,Debit,ATM,62.0,Retired,2299.64,3.0,3.0,3.0,2
286,Debit,Branch,50.0,Doctor,14473.33,3.0,3.0,3.0,2
287,Debit,Online,19.0,Student,1533.32,1.0,1.0,1.0,1
288,Debit,Branch,46.0,Doctor,7005.05,2.0,2.0,2.0,0
289,Debit,Branch,21.0,Student,955.4,1.0,1.0,1.0,1
290,Debit,ATM,42.0,Engineer,7844.880000000001,2.0,2.0,2.0,0
291,Debit,ATM,20.0,Student,221.56,1.0,1.0,1.0,1
292,Debit,Online,54.0,Engineer,6586.19,3.0,3.0,3.0,2
293,Debit,Online,65.0,Retired,3944.82,4.0,4.0,4.0,2
294,Debit,Branch,27.0,Student,1127.98,1.0,1.0,1.0,1
295,Debit,ATM,58.0,Retired,2626.63,3.0,3.0,3.0,2
296,Debit,Branch,48.0,Doctor,6459.38,2.0,2.0,2.0,0
297,Credit,Branch,53.0,Doctor,1649.69,3.0,3.0,3.0,3
298,Debit,ATM,33.0,Engineer,6939.23,1.0,1.0,1.0,0
299,Debit,ATM,39.0,Engineer,9033.87,2.0,2.0,2.0,0
300,Debit,Branch,31.0,Doctor,14365.18,1.0,1.0,1.0,0
301,Debit,Branch,29.0,Doctor,10115.18,1.0,1.0,1.0,0
302,Debit,ATM,74.0,Retired,7358.65,4.0,4.0,4.0,2
303,Debit,Online,53.0,Engineer,4438.03,3.0,3.0,3.0,2
304,Debit,Branch,26.0,Student,1176.1,1.0,1.0,1.0,1
305,Debit,Branch,26.0,Engineer,5427.98,1.0,1.0,1.0,0
306,Debit,Online,37.0,Engineer,3653.11,2.0,2.0,2.0,0
307,Debit,Branch,55.0,Engineer,2104.82,3.0,3.0,3.0,2
308,Debit,ATM,21.0,Student,1802.77,1.0,1.0,1.0,1
309,Debit,ATM,37.0,Engineer,3559.96,2.0,2.0,2.0,0
310,Debit,Branch,69.0,Retired,3564.8,4.0,4.0,4.0,2
311,Debit,Online,71.0,Retired,6752.92,4.0,4.0,4.0,2
312,Debit,Branch,26.0,Student,1444.75,1.0,1.0,1.0,1
313,Debit,Branch,58.0,Doctor,10788.89,3.0,3.0,3.0,2
314,Debit,ATM,65.0,Doctor,12893.63,4.0,4.0,4.0,2
315,Debit,Branch,27.0,Engineer,2798.15,1.0,1.0,1.0,0
316,Debit,Online,46.0,Engineer,3583.67,2.0,2.0,2.0,0
317,Debit,ATM,77.0,Retired,3085.38,4.0,4.0,4.0,2
318,Debit,Branch,42.0,Engineer,6797.71,2.0,2.0,2.0,0
319,Debit,ATM,27.0,Student,746.47,1.0,1.0,1.0,1
320,Debit,Branch,75.0,Retired,5427.81,4.0,4.0,4.0,2
321,Debit,ATM,53.0,Engineer,7467.300000000001,3.0,3.0,3.0,2
322,Debit,Online,38.0,Engineer,6362.16,2.0,2.0,2.0,0
323,Debit,Branch,54.0,Engineer,8345.26,3.0,3.0,3.0,2
324,Debit,Online,27.0,Student,1305.76,1.0,1.0,1.0,1
325,Debit,ATM,29.0,Doctor,13648.36,1.0,1.0,1.0,0
326,Debit,Online,43.0,Doctor,1337.5,2.0,2.0,2.0,0
327,Debit,ATM,42.0,Engineer,2015.6900000000003,2.0,2.0,2.0,0
328,Credit,Branch,26.0,Student,1671.51,1.0,1.0,1.0,1
329,Debit,ATM,68.0,Doctor,11822.53,4.0,4.0,4.0,2
330,Debit,ATM,23.0,Student,587.1099999999999,1.0,1.0,1.0,1
331,Debit,Branch,56.0,Retired,5422.53,3.0,3.0,3.0,2
332,Debit,Online,58.0,Retired,1913.73,3.0,3.0,3.0,2
333,Credit,Online,37.0,Doctor,12139.83,2.0,2.0,2.0,3
334,Debit,ATM,69.0,Retired,4693.6,4.0,4.0,4.0,2
335,Debit,ATM,30.0,Engineer,464.2,1.0,1.0,1.0,0
336,Debit,ATM,80.0,Retired,4363.74,4.0,4.0,4.0,2
337,Debit,ATM,72.0,Retired,3319.76,4.0,4.0,4.0,2
338,Debit,ATM,62.0,Retired,4356.98,3.0,3.0,3.0,2
339,Debit,Branch,28.0,Student,1519.35,1.0,1.0,1.0,1
340,Debit,ATM,71.0,Retired,5962.58,4.0,4.0,4.0,2
341,Credit,Branch,40.0,Engineer,6699.23,2.0,2.0,2.0,3
342,Debit,ATM,21.0,Student,822.73,1.0,1.0,1.0,1
343,Credit,Branch,42.0,Doctor,13964.31,2.0,2.0,2.0,3
344,Debit,Online,20.0,Student,867.3199999999999,1.0,1.0,1.0,1
345,Debit,ATM,64.0,Doctor,1035.86,3.0,3.0,3.0,2
346,Debit,Online,32.0,Doctor,8478.9,1.0,1.0,1.0,0
347,Debit,Branch,57.0,Doctor,11088.95,3.0,3.0,3.0,2
348,Debit,ATM,59.0,Retired,6280.66,3.0,3.0,3.0,2
349,Debit,ATM,44.0,Doctor,481.13,2.0,2.0,2.0,0
350,Credit,ATM,26.0,Student,1122.88,1.0,1.0,1.0,1
351,Debit,Branch,58.0,Engineer,8431.23,3.0,3.0,3.0,2
352,Credit,Online,38.0,Engineer,8342.79,2.0,2.0,2.0,3
353,Debit,Branch,58.0,Retired,7182.22,3.0,3.0,3.0,2
354,Debit,Online,67.0,Retired,1692.15,4.0,4.0,4.0,2
355,Debit,ATM,27.0,Student,1695.57,1.0,1.0,1.0,1
356,Debit,Online,49.0,Engineer,6264.21,2.0,2.0,2.0,0
357,Debit,Branch,52.0,Engineer,8497.34,3.0,3.0,3.0,2
358,Debit,ATM,40.0,Doctor,1272.12,2.0,2.0,2.0,0
359,Debit,Online,56.0,Engineer,3959.62,3.0,3.0,3.0,2
360,Debit,ATM,19.0,Student,476.18999999999994,1.0,1.0,1.0,1
361,Credit,Online,25.0,Student,1872.2200000000003,1.0,1.0,1.0,1
362,Debit,Online,49.0,Engineer,3117.39,2.0,2.0,2.0,0
363,Credit,Online,22.0,Student,1841.69,1.0,1.0,1.0,1
364,Debit,ATM,29.0,Doctor,7580.590000000001,1.0,1.0,1.0,0
365,Debit,Online,35.0,Engineer,7936.91,2.0,2.0,2.0,0
366,Debit,Branch,67.0,Retired,6642.33,4.0,4.0,4.0,2
367,Credit,Branch,61.0,Doctor,7642.250000000001,3.0,3.0,3.0,3
368,Debit,ATM,26.0,Student,136.74,1.0,1.0,1.0,1
369,Credit,Online,40.0,Doctor,12662.66,2.0,2.0,2.0,3
370,Debit,Branch,44.0,Doctor,8126.0599999999995,2.0,2.0,2.0,0
371,Debit,ATM,42.0,Doctor,705.7499999999999,2.0,2.0,2.0,0
